2022/12/03/04:08:42:143 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 9
2022/12/03/04:08:42:145 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:08:42:147 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:08:42:149 [DEBUG] Unity: ;LOGLINE;Time in Handshake 4;1149,428; s
2022/12/03/04:08:42:150 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:24:45:822 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 1
2022/12/03/04:24:45:823 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 7
2022/12/03/04:24:45:824 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/04:24:45:826 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:24:45:827 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 4
2022/12/03/04:24:45:829 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 3
2022/12/03/04:24:45:830 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:24:45:831 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:24:45:833 [DEBUG] Unity: ;LOGLINE;Time in Handshake 1;2684,766; s
2022/12/03/04:24:45:834 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:24:45:836 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 2
2022/12/03/04:24:45:836 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 12
2022/12/03/04:24:45:838 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 1
2022/12/03/04:24:45:840 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:24:45:841 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 3
2022/12/03/04:24:45:842 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 4
2022/12/03/04:24:45:844 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:24:45:846 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:24:45:847 [DEBUG] Unity: ;LOGLINE;Time in Handshake 2;242,008; s
2022/12/03/04:24:45:848 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:24:45:849 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 3
2022/12/03/04:24:45:851 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 8
2022/12/03/04:24:45:852 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:24:45:854 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:24:45:856 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
2022/12/03/04:24:45:856 [DEBUG] Unity: ;LOGLINE;Finished interactions with experimenter count; 5
2022/12/03/04:24:45:859 [DEBUG] Unity: ;LOGLINE;Finished interactions with Mayor count; 0
2022/12/03/04:24:45:860 [DEBUG] Unity: ;LOGLINE;Finished interactions with Waitress count; 0
2022/12/03/04:24:45:862 [DEBUG] Unity: ;LOGLINE;Time in Handshake 3;592,648; s
2022/12/03/04:24:45:863 [DEBUG] Unity: ;LOGLINE;   
2022/12/03/04:24:45:864 [DEBUG] Unity: ;LOGLINE;VERSION; Handshake 4
2022/12/03/04:24:45:865 [DEBUG] Unity: ;LOGLINE;Interactions started from experimenter count; 18
2022/12/03/04:24:45:866 [DEBUG] Unity: ;LOGLINE;Interactions started from Mayor count; 0
2022/12/03/04:24:45:868 [DEBUG] Unity: ;LOGLINE;Interactions started from Waitress count; 0
2022/12/03/04:24:45:870 [DEBUG] Unity: ;LOGLINE;Interactions started from Tester count; 11
